Pre-Primary,Amar  Boi,কোথায় আমার মা পাঠ্যাংশ: স্বাস্থ, হরেক রকম খাবার পাঠ-৪৮,VIDEO,কোথায় আমার মা ,ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে। বিভিন্ন প্রকার খাবার (ভাত/রুটি/পাউরুটি/মাছ-মাংস, ডাল, শাক, সবজি, ফল-মূল) আলাদা করতে পারবে।,EP 19_Pre-Primary.png,EP 19, Pre-Primary.mp4,Yes,19,Amar  Boi,কোথায় আমার মা পাঠ্যাংশ: স্বাস্থ, হরেক রকম খাবার পাঠ-৪৮,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,সৃজনশীল কাজ: গল্প-খুশি একদিন কুসুমপুরে। স্বাস্থ: হাত ধোয়া,VIDEO, গল্প-খুশি একদিন কুসুমপুরে,ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে। নিওমিত দাঁত মাজতে, হাত ধোতে, চুল আঁচড়াতে, হাঁচি-কাশির সময় মুখ ঢাকতে ও টায়লেট ব্যবহারের পর সাবান বা  ছাই দিয়ে হাত ধোয়ার অভ্যাস গঠন করবে।,EP 20_Pre-Primary.png,EP 20, Pre-Primary.mp4,Yes,20,Amar  Boi,সৃজনশীল কাজ: গল্প-খুশির একদিন কুসুমপুরে। স্বাস্থ: হাত ধোয়া,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,কাক ও শিয়াল বিষয়: প্রাক গণিত পাঠ: ২০,VIDEO,প্রাক-গাণিতিক ধারণা সংখ্যা প্রতীক ৯,গল্প – শেয়াল ও কাক  সংখ্যা প্রতীক লেখা ও পড়া ৯  প্রযুক্তি -প্রচলিত প্রযুক্তি , তথ্য ও যোগাযোগ প্রযুক্তি,EP 22_Pre-Primary.png,EP 22, Pre-Primary.mp4,Yes,22,Amar  Boi,কাক ও শিয়াল বিষয়: প্রাক গণিত পাঠ: ২০,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,১) সৃজনশীল কাজ: গল্প-লাল পোকার গল্প। ২) সৃজনশীল কাজ: চারু- রঙ চেনা। ৩) প্রাক গণিত: সংখ্যার গুণা, প্রতীক পড়া ও লেখা (৭)। ,VIDEO, গল্প-লাল পোকার গল্প,ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে।  ইচ্ছেমতো ছবি আঁকতে ও রং করতে পারবে। সংখ্যা প্রতীক ৭ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ৭ লিখতে পারবে। ,EP 23_Pre-Primary.png,EP 23, Pre-Primary.mp4,Yes,23,Amar  Boi,১) সৃজনশীল কাজ: গল্প-লাল পোকার গল্প। ২) সৃজনশীল কাজ: চারু- রঙ চেনা। ৩) প্রাক গণিত: সংখ্যার গুণা, প্রতীক পড়া ও লেখা (৭)। ,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,ভাষার কাজ: প্রাক - পঠন ও প্রাক - লিখন ঙ, চ,ছ।  সৃজনশীল কাজ: গান - এমন মজা হয়না। অন্যাণ্য কাজ: স্বাস্থ- দাঁত মাজা। পাঠ-১৭,VIDEO,বর্ণমালা পরিচিতি-ব্যঞ্জনবর্ণ ঙ, চ,ছ,ধ্বনির প্রতীক (বর্ণ) শনাক্ত করতে পারবে। শব্দ থেকে বর্ণ শনাক্ত করতে পারবে। ছন্দের তালে তালে স্থানীয়/ লোকজ ও অন্যান্য শিশুতোষ গান গাইতে পারবে। নিয়মিত দাঁত মাজতে, হাত ধুতে, চুল আচড়াতে, হাঁচি-কাশির সময় মুক ঢাকতে ও টয়লেট ব্যবহারের পর সাবান বা ছাই দিয়ে হাত ধোয়ার অভ্যাস গঠন করবে।,EP 34_Pre-Primary.jpg,EP 34, Pre-Primary.mp4,Yes,34,Amar  Boi,ভাষার কাজ: প্রাক - পঠন ও প্রাক - লিখন ঙ, চ,ছ।  সৃজনশীল কাজ: গান - এমন মজা হয়না। অন্যাণ্য কাজ: স্বাস্থ- দাঁত মাজা। পাঠ-১৭,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,১। ব্যায়াম - ৪  ২। প্রাক - গণিত - সংখা গুণা, প্রতীক পড়া ও লেখা।  ৩। প্রযুক্তি - ঘুরে বেড়াই যানবাহনে।  পাঠ: ১০,VIDEO, প্রযুক্তি - ঘুরে বেড়াই যানবাহনে,বিভিন্ন শারীরিক কসরত করতে পারবে। সংখ্যা প্রতীক ২ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ২  লিখতে পারবে। স্থলপথের যানবাহন সম্পর্কে বলতে পারবে। জলপথের যানবাহন সম্পর্কে বলতে পারবে। আকাশপথের যানবাহন সম্পর্কে বলতে পারবে।,EP 45_Pre-Primary.jpg,EP 45, Pre-Primary.mp4,Yes,45,Amar  Boi,১। ব্যায়াম - ৪  ২। প্রাক - গণিত - সংখা গুণা, প্রতীক পড়া ও লেখা।  ৩। প্রযুক্তি - ঘুরে বেড়াই যানবাহনে।  পাঠ: ১০,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,১। ব্যায়াম ৪ , ২। প্রাক পঠন -  ছবিতে গল্প (হাঁস ও মুরগী) । ৩। প্রাক গণিত - সংখ্যা গুণা, প্রতীক পড়া ও লেখা। পাঠ: ৬,VIDEO, গল্পঃ হাঁস ও মুরগী,বিভিন্ন শারীরিক কসরত করতে পারবে। পরিচিত বস্তু, ছবি বা দৃশ্যপট সম্পর্কে বলতে পারবে। ছবি/চিত্রভিত্তিক ধারাবাহিক কাহিনি বা গল্প বলতে (পড়তে) পারবে। সংখ্যা প্রতীক ২ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ২ লিখতে পারবে।,EP 46_Pre-Primary.jpg,EP 46, Pre-Primary.mp4,Yes,46,Amar  Boi,১। ব্যায়াম ৪ , ২। প্রাক পঠন -  চবিতে গল্প (হাঁস ও মুরগী) । ৩। প্রাক গণিত - সংখ্যা গুণা, প্রতীক পড়া ও লেখা। পাঠ: ৬,Amar  Boi,আমার  বই
Pre-Primary,ABOI (Pre-Primary),Pre-Primary- Lesson 1- পরিচিতি,VIDEO,পরিচিতি,বইয়ের পরিচিতি সম্পর্কে জানা যাবে,Pre-Primary- Lesson 1- পরিচিতি.jpg,Pre-Primary- Lesson 1- পরিচিতি.mp4,Yes,47,Introduction,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Introduction,পরিচিতি
Pre-Primary,ABOI (Pre-Primary),Pre-Primary Lesson-2 - পরিচিতি ও দৈনিক সমাবেশ,VIDEO,পরিচিতি ও দৈনিক সমাবেশ,বইয়ের পরিচিতি এবং প্রতিদিনের সমাবেশ সম্পর্কে জানা যাবে,Pre-Primary Lesson-2 - পরিচিতি ও দৈনিক সমাবেশ.jpg,Pre-Primary Lesson-2 - পরিচিতি ও দৈনিক সমাবেশ.mp4,Yes,48,Introduction and Daily Assembly,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Introduction and Daily Assembly,পরিচিতি ও দৈনিক সমাবেশ
Pre-Primary,ABOI (Pre-Primary),Pre-Primary- Lesson 3- ব্যায়াম,VIDEO,ব্যায়াম,কোন ধরনের শরীরচর্চা প্রয়োজন, সে সম্পর্কে জানা যাবে,Pre-Primary- Lesson 3- ব্যায়াম.jpg,Pre-Primary- Lesson 3- ব্যায়াম.mp4,Yes,49,Exercise,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Exercise,ব্যায়াম
Pre-Primary,ABOI (Pre-Primary),Pre-Primary- Lesson 4- ছড়া-ওয়ান গেল মাছ ধরতে।,VIDEO,ওয়ান গেল মাছ ধরতে,ওয়ান থেকে টেন পর্যন্ত সংখ্যা পরিচিতির একটি মজার ছড়া,Pre-Primary- Lesson 4- ছড়া-ওয়ান গেল মাছ ধরতে.jpg,Pre-Primary- Lesson 4- ছড়া-ওয়ান গেল মাছ ধরতে.mp4,Yes,50,One Went Fishing,আমার বই (প্রাক-প্রাথমিক শিক্ষা),One Went Fishing,ওয়ান গেল মাছ ধরতে
Pre-Primary,ABOI (Pre-Primary), Pre-Primary Lesson-5-ছড়া২১- পিঁপড়া পিঁপড়া কয়টা ডিম,VIDEO,পিঁপড়া পিঁপড়া কয়টা ডিম,সংখ্যা পরিচিতি নিয়ে একটি মজার ছড়া,Pre-Primary Lesson-5-ছড়া২১- পিঁপড়া পিঁপড়া কয়টা ডিম.jpg,Pre-Primary Lesson-5-ছড়া২১- পিঁপড়া পিঁপড়া কয়টা ডিম.mp4,Yes,51,How Many Eggs Does an Ant Lay,আমার বই (প্রাক-প্রাথমিক শিক্ষা),How Many Eggs Does an Ant Lay,পিঁপড়া পিঁপড়া কয়টা ডিম
Pre-Primary,ABOI (Pre-Primary),Pre-Primary Lesson-6- ছড়া-২২-জাম জামরুল কদবেল,VIDEO,জাম জামরুল কদবেল,দেশীয় ফলের পরিচিতি নিয়ে একটি মজার ছড়া,Pre-Primary Lesson-6- ছড়া-২২-জাম জামরুল কদবেল.jpg,Pre-Primary Lesson-6- ছড়া-২2-জাম জামরুল কদবেল.mp4,Yes,52,Jaam Jamrul Kodbel,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Jaam Jamrul Kodbel,জাম জামরুল কদবেল
Pre-Primary,ABOI (Pre-Primary),Pre-Primary- Lesson 7- ছড়া- লাল শাক কচু শাক,VIDEO,লাল শাক কচু শাক,দেশীয় শাকসবজির পরিচিতি নিয়ে একটি মজার ছড়া,Pre-Primary- Lesson 7- ছড়া- লাল শাক কচু শাক.jpg,Pre-Primary- Lesson 7- ছড়া- লাল শাক কচু শাক.mp4,Yes,53,Lal Shak Kochu Shak,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Lal Shak Kochu Shak,লাল শাক কচু শাক
Pre-Primary,ABOI (Pre-Primary),Pre-Primary Lesson-8- ছড়া২৬-চড়ুই ডাকে কিচির মিচির,VIDEO,চড়ুই ডাকে কিচির মিচির,দেশীয় পাখির পরিচিতি নিয়ে একটি মজার ছড়া,Pre-Primary Lesson-8- ছড়া২৬-চড়ুই ডাকে কিচির মিচির.jpg,Pre-Primary Lesson-8- ছড়া২6-চড়ুই ডাকে কিচির মিচির.mp4,Yes,54,The Sparrow Calls Chirping,আমার বই (প্রাক-প্রাথমিক শিক্ষা),The Sparrow Calls Chirping,চড়ুই ডাকে কিচির মিচির
Pre-Primary,ABOI (Pre-Primary),Pre-Primary- Lesson 9- গান- লাল ঝুটি কাকাতুয়া,VIDEO,লাল ঝুটি কাকাতুয়া,পাখিদের নিয়ে একটি মজার ছড়াগান,Pre-Primary- Lesson 9- গান- লাল ঝুটি কাকাতুয়া.jpg,Pre-Primary- Lesson 9- গান- লাল ঝুটি কাকাতুয়া.mp4,Yes,55,Red-Crested Cockatoo,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Red-Crested Cockatoo,লাল ঝুটি কাকাতুয়া
Pre-Primary,ABOI (Pre-Primary),Pre-Primary- Lesson 10- গান- আমাদের দেশটা স্বপ্নপুরী,VIDEO,আমাদের দেশটা স্বপ্নপুরী,শিশুদের কল্পনার রাজ্য নিয়ে একটি ছড়াগান,Pre-Primary- Lesson 10- গান- আমাদের দেশটা স্বপ্নপুরী.jpg,Pre-Primary- Lesson 10- গান- আমাদের দেশটা স্বপ্নপুরী.mp4,Yes,56,Our Country is Full of Dreams,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Our Country is Full of Dreams,আমাদের দেশটা স্বপ্নপুরী
Pre-Primary,ABOI (Pre-Primary),Pre-Primary Lesson-11- গান-৫- এমন মজা হয় না,VIDEO,এমন মজা হয় না,বাচ্চাদের ছড়াগান,Pre-Primary Lesson-11- গান-৫- এমন মজা হয় না.jpg,Pre-Primary Lesson-11- গান-৫- এমন মজা হয় না.mp4,Yes,57,Such a Good Time,আমার বই (প্রাক-প্রাথমিক শিক্ষা),Such a Good Time,এমন মজা হয় না
